Id,Modularity Class
2189788151,26
1231094776,8
1648493562,26
2017269247,10
436765695,2
455054848,1
3350135810,10
2907439275,25
1847133188,1
3313107977,1
2480471994,26
1657032717,26
2564883469,8
2618164238,1
4266984463,26
2794488849,1
1246037010,26
4272817172,8
79397909,1
3505194006,1
3712775240,1
3730801692,2
2738258973,10
3060925471,1
2199192608,1
2868577313,1
1061717026,4
3706160168,1
1504586588,1
2171634730,4
2692875307,10
1735328812,1
1966227634,8
2073756718,1
1612637129,1
2809955377,26
3803317298,2
924812340,10
3975349304,23
3727262777,1
2670330938,10
3687361375,10
620921917,26
2117174335,4
1173881920,4
344392769,26
151392217,26
1493107780,26
1811088453,26
1480721481,4
3947430987,10
1090791859,4
3226506765,10
1852806670,10
1504052310,8
444466265,25
122825247,4
3987407963,10
622658652,2
1765573727,2
3608642657,10
3440443361,10
1510736996,8
639427356,1
2235335783,0
2051011420,1
1799029866,26
883338087,1
31392877,10
720340078,8
2830238831,8
3949954162,4
558597235,8
716276852,1
2642052213,1
392791158,15
3119908819,25
4184245369,26
3379004538,1
1543176571,0
2558657660,10
2430239870,1
2949500297,25
3245573249,10
2678031490,1
2782823556,0
1967621253,1
1412695175,10
3058566282,10
3847652493,10
2019820686,1
2936046735,1
2814837906,8
4163695658,2
1510828910,10
2824373399,26
973309080,23
4055303323,26
2162361500,1
423514539,1
4080108702,25
4286514335,25
1458238828,1
2001283952,8
3046671522,26
2149156003,10
3083895973,8
3414492326,10
1356367016,1
3697444013,1
682919087,8
3439133872,1
360219826,26
2924342131,0
2101445812,8
371950774,8
1014072504,23
1618553716,8
1218544828,1
4198204605,2
1557005502,4
2347281269,8
3288663233,4
4183000262,26
2332235297,10
2369488072,4
3296986313,1
2068088011,0
720033314,8
1280607438,1
3823190221,27
706217168,2
269550802,1
501548246,4
904883065,2
3065177000,10
204997849,18
3210937565,8
633169729,10
1630799071,10
4242310368,10
3442901200,4
3528267704,8
914293990,1
2770437352,10
882607338,10
1509676583,4
1909556461,1
2657518831,1
3475473648,1
1219560689,1
3456238834,1
3187410163,8
4220791678,10
1062164009,8
2581267704,1
351274233,1
2469266682,10
69266304,26
4141483266,8
1119487235,1
2321155332,1
1672970454,8
964068615,4
3534193929,1
4039542028,10
2407171344,1
736724241,10
3749709074,1
3370321171,25
1188857112,2
2312013081,1
2336195868,1
4139532515,1
1608126513,27
543753504,1
246699568,25
3212837083,10
372016421,8
2594997542,10
2425914663,1
581698857,1
1261208874,1
2166921083,8
1942258988,8
4142470707,1
1879934260,8
1091503413,26
2436333481,4
1782154553,26
3561391418,2
2113799483,0
2357062538,1
2898400821,1
2866447683,26
643794244,10
1157498182,4
2529166664,26
2139686220,1
1791362381,1
3323331919,1
1077577041,26
3200386386,1
3120661844,8
560727382,4
4136490553,23
1845167449,10
287918720,1
2965575226,26
694322526,10
1707475173,10
4009339792,10
3636659555,8
2680784230,8
2149975399,4
3265004904,1
1759930659,8
2701329770,0
909149547,1
4167173485,1
376763048,1
3560473969,4
3005547891,2
2417852649,26
1238795640,7
2146102164,23
2811200890,10
2359494013,4
163448190,1
1633774485,1
3027812587,10
2266465669,10
2186347911,10
3249000559,26
1050412425,8
2055390914,10
2735867275,1
2610234766,10
3039528335,1
4135749008,18
2281735569,10
1066500041,1
84968855,4
2098380660,10
3022587290,16
3974137244,8
2209416608,10
2980800464,26
3505587621,8
2877785512,26
2492499369,4
3054798250,27
3660285355,10
2802746796,1
1387365805,4
3179709870,10
2225548189,10
3462333873,1
2625209778,8
343868852,1
865315742,26
2763031990,1
2109537466,1
1178895800,0
743769529,8
1053545055,26
4130178491,8
3374810556,4
4220782013,1
2672461247,26
698123713,26
4164650435,2
3988096452,26
3423307205,10
192906694,26
420185543,4
1730020808,8
1227654601,1
1321403853,26
1975649742,4
3269658064,4
349602040,1
3737552339,26
466585044,25
675463030,27
272467422,26
2945878848,4
4034299361,10
2546843899,10
1049652134,10
2166523366,4
2431124968,1
880182761,2
612238826,25
4142106091,25
1879836141,23
4192896494,10
1246004719,1
2618590704,10
626710099,8
4072506868,10
1089799670,10
505468500,2
1408566780,10
530181034,1
658179583,18
1327793665,1
4031448578,4
2818797112,8
33588749,23
515658928,10
4073555473,8
1288737054,1
1690550531,26
1573553684,8
2259086254,10
2442167830,4
1254250073,4
3410658841,10
2742064730,10
1663501854,10
1025491205,1
3772974625,4
3280995874,18
3266853190,1
3114763814,10
487589415,10
3832481322,8
936231175,1
355796525,1
1269302830,8
1816266287,8
4256499248,4
245171761,8
3486090802,8
2309948979,8
2079786549,1
747505207,10
1894012718,10
1276937788,8
181470781,1
85919296,10
3935077953,8
2737538626,2
2141193795,26
932382281,10
3816132571,27
2025457229,8
1905034830,4
1293026896,4
2286814801,1
3993556579,1
4196370006,8
1692403291,1
4292274441,10
3497055845,1
2100954721,10
2208357849,1
150636131,25
2075523674,1
2515994213,4
1187874406,26
2117011049,10
1093376589,10
236226155,4
3766847084,4
2558330477,4
1335418875,1
277055088,10
2571862291,26
425991420,25
1379538537,4
1842546297,1
3200091770,2
3594159739,1
2437252732,10
3447228029,8
3213821568,2
1214835648,4
3521730155,1
3833398917,1
2478999174,10
555838401,1
2510194312,1
2596017772,10
85253621,1
356255372,1
3681552013,1
3922462350,4
346719887,4
903113164,10
2954865603,1
2713912982,10
1648148761,1
3339681285,1
593823389,1
3223127710,2
3715696287,2
3439756960,10
123143841,4
1289062050,26
5801635,8
1468761765,8
1817806504,1
834373289,8
137292743,8
628688556,4
2647033518,1
248645295,1
4185420423,1
947989140,1
615462329,4
3264743092,4
630458039,26
814802904,4
3894937274,25
18777787,4
1025567690,4
394462910,8
3488024255,7
81594048,8
1304953120,4
1154516676,2
2831877829,8
2926642886,1
1354696391,26
1413318344,1
4294936266,26
1833502411,1
260015820,1
1621919440,4
3376219860,1
2122876629,8
3951265494,10
1052546681,18
2352613080,1
965019354,25
2276099803,2
2608432863,1
862858192,10
2948663010,26
305895035,0
2899969764,10
1772437798,1
1088521958,8
3040586705,26
3227584232,10
2152470140,4
1125040423,15
2966882030,8
2198046447,1
2364475120,1
1542717736,10
1991698702,26
1566387155,0
3957544574,1
3820685046,1
2592638711,1
166725369,8
3218933499,26
2333770026,26
2104985344,1
1937774208,1
993616929,1
2190182150,10
1387661064,10
3369666314,26
1629619980,8
1836025616,25
3290859281,8
593626898,1
2090960659,2
2821850900,8
1893127296,26
3658680089,4
787679002,1
3811739419,1
480773916,1
1578895133,4
3334768414,1
3608676127,1
3504899872,10
